scene_id,veh_id,num_total_vehs,veh_int_paths,tot_int_paths,goal_rate,off_road,veh_veh_collision,Agent,Train agent,Dataset,Eval mode,Reg. weight
tfrecord-00040-of-01000_355.json,29,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,30,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,2,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,19,20,0.0,2.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,38,20,0.0,2.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,20,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,8,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,36,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,43,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,16,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,33,20,0.0,2.0,1.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,13,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,22,20,1.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,34,20,1.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,10,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,28,20,0.0,2.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,12,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,27,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,21,20,0.0,2.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,39,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,18,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,14,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,11,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,23,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,6,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,3,20,0.0,2.0,1.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,26,20,2.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,9,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,7,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,31,20,0.0,2.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
